                 V_V1	             ID(M1)@1	             ID(M1)@2	             ID(M1)@3	             ID(M1)@4	             ID(M1)@5	             ID(M1)@6
                    0	                    0	                    0	                    0	                    0	                    0	                    0
                 0,05	5,85531175953911e-014	2,63460588030284e-005	7,49292084947228e-005	 0,000115335518785287	 0,000152013642946258	 0,000186325123650022
                  0,1	1,09790655570836e-013	4,82380200992338e-005	 0,000146480320836417	 0,000227671131142415	 0,000301248859614134	 0,000370025110896677
                 0,15	1,59969707294073e-013	6,57152995700017e-005	 0,000214678308111615	 0,000337028264766559	 0,000447725178673863	 0,000551118282601237
                  0,2	2,09995622236711e-013	7,88139586802572e-005	 0,000279545987723395	 0,000443426542915404	 0,000591460557188839	 0,000729621504433453
                 0,25	2,59999378797449e-013	8,75671539688483e-005	 0,000341104430845007	 0,000546884024515748	 0,000732471467927098	 0,000905550143215805
                  0,3	3,09999991171886e-013	9,18564983294345e-005	 0,000399373035179451	 0,000647417444270104	 0,000870773161295801	  0,00107891857624054
                 0,35	3,60000007235128e-013	9,37392032938078e-005	 0,000454369815997779	 0,000745042169000953	  0,00100637972354889	  0,00124974001664668
                  0,4	4,09999996193317e-013	9,52351838350296e-005	 0,000506111595313996	 0,000839772750623524	  0,00113930436782539	  0,00141802674625069
                 0,45	4,59999985151505e-013	9,65605140663683e-005	 0,000554614001885057	 0,000931622460484505	  0,00126955937594175	  0,00158379029016942
                  0,5	5,09999974109693e-013	9,77818344836123e-005	 0,000599891762249172	  0,00102060404606164	  0,00139715615659952	   0,0017470414750278
                 0,55	 5,6000001727799e-013	9,89303589449264e-005	 0,000641958671621978	  0,00110672926530242	  0,00152210565283895	  0,00190779031254351
                  0,6	6,10000006236178e-013	 0,000100023768027313	  0,00068082771031186	  0,00119000929407775	   0,0016444178763777	  0,00206604646518826
                 0,65	6,59999995194366e-013	 0,000101073288533371	 0,000716511101927608	   0,0012704546097666	   0,0017641024896875	  0,00222181878052652
                  0,7	7,09999984152554e-013	 0,000102086603874341	 0,000749020429793745	  0,00134807522408664	  0,00188116845674813	  0,00237511587329209
                 0,75	7,59999973110742e-013	 0,000103069243778009	 0,000778366753365844	  0,00142288045026362	  0,00199562450870872	  0,00252594565972686
                  0,8	8,10000016279039e-013	 0,000104025413747877	 0,000802196154836565	  0,00149487913586199	  0,00210747867822647	  0,00267431582324207
                 0,85	8,60000005237227e-013	 0,000104958351585083	 0,000814971455838531	   0,0015640800120309	  0,00221673888154328	  0,00282023381441832
                  0,9	9,10000048405524e-013	  0,00010587066935841	 0,000824656221084297	  0,00163049099501222	  0,00232341233640909	  0,00296370615251362
                 0,95	9,59999983153603e-013	 0,000106764484371524	 0,000832951162010431	  0,00169411988463253	  0,00242750602774322	  0,00310473958961666
                    1	 1,0100000263219e-012	 0,000107641564682126	 0,000840405293274671	  0,00175497401505709	  0,00252902670763433	  0,00324334064498544
                 1,05	1,05999996106998e-012	 0,000108503387309611	 0,000847279618028551	  0,00181306048762053	  0,00262798089534044	  0,00337951490655541
                  1,1	1,11000000423828e-012	 0,000109351232822519	 0,000853722391184419	  0,00186838593799621	  0,00272437487728894	  0,00351326842792332
                 1,15	1,16000004740657e-012	 0,000110186192614492	  0,00085982761811465	  0,00190638634376228	  0,00281821400858462	  0,00364460679702461
                  1,2	1,20999998215465e-012	 0,000111009227111936	 0,000865659210830927	  0,00193048210348934	  0,00290950457565486	  0,00377353490330279
                 1,25	1,26000002532295e-012	 0,000111821180325933	  0,00087126309517771	  0,00195011962205172	  0,00299825146794319	  0,00390005833469331
                  1,3	1,30999996007103e-012	 0,000112622787128203	 0,000876673555467278	  0,00196732394397259	  0,00308446027338505	  0,00402418151497841
                 1,35	1,36000000323933e-012	 0,000113414724182803	 0,000881917017977685	  0,00198293710127473	  0,00316523713991046	  0,00414590956643224
                  1,4	1,41000004640762e-012	 0,000114197580842301	 0,000887014379259199	  0,00199740473181009	  0,00321417511440814	  0,00426524644717574
                 1,45	 1,4599999811557e-012	 0,000114971902803518	 0,000891982461325824	  0,00201099738478661	  0,00325011112727225	  0,00438219727948308
                  1,5	  1,510000024324e-012	 0,000115738177555613	 0,000896835117600858	  0,00202389364130795	  0,00328038237057626	  0,00449676578864455
                 1,55	1,55999995907208e-012	 0,000116496841656044	 0,000901583873201162	  0,00203621829859912	  0,00330727314576507	  0,00458967918530107
                  1,6	1,61000000224037e-012	 0,000117248309834395	 0,000906238507013768	  0,00204806355759501	  0,00333185330964625	  0,00464787520468235
                 1,65	1,66000004540867e-012	 0,000117992953164503	 0,000910807284526527	  0,00205949880182743	  0,00335472635924816	  0,00469437940046191
                  1,7	1,70999998015675e-012	 0,000118731113616377	 0,000915297481697053	  0,00207057851366699	  0,00337627273984253	  0,00473469868302345
                 1,75	1,76000002332505e-012	 0,000119463111332152	 0,000919715210329741	  0,00208134623244405	  0,00339674996212125	  0,00477103190496564
                  1,8	1,80999995807313e-012	 0,000120189237350132	 0,000924066000152379	  0,00209183688275516	  0,00341634219512343	  0,00480452459305525
                 1,85	1,86000000124142e-012	 0,000120909768156707	 0,000928354682400823	  0,00210208026692271	  0,00343518680892885	  0,00483586173504591
                  1,9	 1,9099999359895e-012	 0,000121624958410393	 0,000932585564441979	    0,002112100366503	  0,00345338857732713	   0,0048654917627573
                 1,95	1,96000008757802e-012	 0,000122335040941834	 0,000936762487981468	  0,00212191813625395	  0,00347103085368872	  0,00489372760057449
                    2	 2,0100000223261e-012	 0,000123040226753801	 0,000940888829063624	  0,00213155150413513	  0,00348818046040833	  0,00492079742252827
                 2,05	2,05999995707418e-012	 0,000123740755952895	 0,000944967789109796	  0,00214101560413837	  0,00350489164702594	   0,0049468744546175
                  2,1	2,10999989182226e-012	 0,000124436788610183	 0,000949002045672387	  0,00215032417327166	  0,00352121028117836	  0,00497209234163165
                 2,15	2,16000004341077e-012	 0,000125128528452478	 0,000952994276303798	  0,00215948885306716	  0,00353717454709113	  0,00499655865132809
                  2,2	2,20999997815885e-012	 0,000125816150102764	 0,000956946809310466	  0,00216851988807321	  0,00355281657539308	  0,00502035999670625
                 2,25	2,25999991290693e-012	 0,000126499799080193	 0,000960861740168184	  0,00217742659151554	  0,00356816477142274	  0,00504356762394309
                  2,3	2,31000006449544e-012	 0,000127179650007747	 0,000964741047937423	  0,00218621757812798	  0,00358324334956706	  0,00506624253466725
                 2,35	2,35999999924352e-012	 0,000127855833852664	 0,000968586537055671	  0,00219490006566048	  0,00359807349741459	  0,00508843408897519
                  2,4	 2,4099999339916e-012	  0,00012852851068601	 0,000972399895545095	   0,0022034808062017	  0,00361267384141684	   0,0051101865246892
                 2,45	2,46000008558012e-012	 0,000129197767819278	  0,00097618269501254	  0,00221196585334837	   0,0036270609125495	  0,00513153662905097
                  2,5	 2,5100000203282e-012	  0,00012986377987545	 0,000979936448857188	  0,00222036056220531	  0,00364124937914312	  0,00515251746401191
                 2,55	2,55999995507628e-012	 0,000130526634166017	 0,000983662321232259	  0,00222867052070796	  0,00365525274537504	  0,00517315790057182
                  2,6	2,61000010666479e-012	 0,000131186461658217	 0,000987361650913954	  0,00223689991980791	  0,00366908241994679	  0,00519348215311766
                 2,65	2,66000004141287e-012	 0,000131843349663541	 0,000991035718470812	  0,00224505318328738	  0,00368274957872927	  0,00521351350471377
                  2,7	2,70999997616095e-012	  0,00013249741459731	 0,000994685455225408	  0,00225313426926732	  0,00369626353494823	  0,00523327151313424
                 2,75	2,75999991090903e-012	 0,000133148758322932	 0,000998312025330961	  0,00226114667020738	  0,00370963360182941	  0,00525277433916926
                  2,8	2,81000006249754e-012	 0,000133797468151897	  0,00100191636011004	  0,00226909387856722	  0,00372286746278405	  0,00527203781530261
