                 Time	                V(m2)	                V(m3)
                    0	1.33497535248495e-009	                    5
               1e-012	  -0.0199708044528961	     4.98514032363892
               2e-012	  -0.0392333567142487	      4.9706768989563
4.00016074813902e-012	  -0.0749281197786331	     4.94342947006226
8.00048224441707e-012	   -0.140714138746262	     4.89224100112915
1.60011252369732e-011	   -0.244606837630272	     4.80622863769531
3.20024112220854e-011	   -0.340582013130188	     4.69719266891479
4.08674379792064e-011	   -0.360734105110168	     4.65536308288574
5.85974914934486e-011	   -0.345336347818375	     4.60030841827393
 9.4057598521933e-011	   -0.130960777401924	     4.59577417373657
1.30286046674475e-010	    0.460023373365402	     4.74912738800049
1.67550591191277e-010	     1.24678182601929	     4.89743947982788
1.92870923688635e-010	     1.74990952014923	     4.91685056686401
2.23371738007292e-010	     2.27859377861023	     4.80844831466675
2.78185892289504e-010	     3.02835035324097	      4.1895318031311
3.12132600134239e-010	     3.44165897369385	     3.41984558105469
 3.4494425859116e-010	     3.76023030281067	      2.5721971988678
3.78500975107774e-010	     3.99396085739136	     1.74801707267761
4.25142773797736e-010	      4.3361668586731	    0.888089179992676
4.62640148958191e-010	     4.56379175186157	    0.420410007238388
 4.8627828005515e-010	     4.61773443222046	    0.265047371387482
5.12049721924588e-010	     4.57206392288208	    0.173527836799622
5.54622805116698e-010	     4.22089767456055	    0.071788102388382
5.87166708333418e-010	     3.62555074691772	  0.00458628125488758
6.23854997007176e-010	     2.73127722740173	  -0.0206012725830078
6.66951949147508e-010	     1.70777916908264	    0.104011856019497
 7.1748784035258e-010	    0.830716550350189	    0.716289401054382
7.66114520279691e-010	    0.307422906160355	     1.62552523612976
7.97890082372353e-010	    0.169103741645813	     2.16742563247681
8.32971839604899e-010	   0.0857777819037437	     2.69023489952087
8.71482028065249e-010	   0.0133046833798289	     3.21014833450317
9.12902599571273e-010	  -0.0148747181519866	     3.66852760314941
9.58875010160729e-010	    0.145018398761749	     4.01057577133179
1.00293238870613e-009	    0.715676128864288	     4.34785890579224
1.05405035652034e-009	     1.63941431045532	     4.56048965454102
1.08967926576547e-009	     2.23280811309814	     4.50078821182251
1.13178668767028e-009	     2.83282327651978	     4.12583017349243
1.16413268483989e-009	     3.27147936820984	     3.52012705802917
1.19716553240828e-009	     3.63745808601379	     2.72183465957642
1.23164192996733e-009	     3.90965270996094	     1.89571058750153
1.28265512399189e-009	     4.28889608383179	    0.940385401248932
1.31881372295134e-009	     4.50721454620361	    0.494108349084854
1.35309803522937e-009	     4.56891584396362	    0.254305809736252
1.38992020152323e-009	     4.42671155929565	    0.131836384534836
1.43145718835108e-009	     3.91165924072266	   0.0346154719591141
1.46457152664475e-009	     3.19023895263672	  -0.0129726221784949
1.49569516293518e-009	     2.42466187477112	  0.00283408863469958
1.53010171130113e-009	     1.61558985710144	     0.13166581094265
1.56776206791215e-009	    0.890996634960175	    0.566620647907257
1.59977628141455e-009	    0.491180628538132	     1.15441608428955
1.63024217113666e-009	    0.271715521812439	     1.73400580883026
1.66092924997024e-009	    0.163062870502472	     2.25160050392151
1.70254772752337e-009	   0.0649837553501129	     2.84481024742126
1.73546415976994e-009	  0.00354379322379828	     3.28463816642761
1.76778687387519e-009	  -0.0116222836077213	     3.63996529579163
1.80276967808418e-009	    0.071697048842907	     3.91463685035706
1.85332885235362e-009	    0.590388715267181	      4.2898998260498
1.88928954526596e-009	     1.23390781879425	     4.50776338577271
1.92346326298825e-009	     1.85737085342407	     4.57086324691772
1.95984305105917e-009	     2.43837189674377	     4.43363475799561
 2.0015313778054e-009	     3.00603270530701	     3.92448663711548
 2.0339530449342e-009	     3.42255854606628	      3.2218611240387
2.06437818929367e-009	     3.72649312019348	     2.47093200683594
2.09730626307242e-009	     3.96735954284668	     1.69051945209503
2.13847654163651e-009	      4.2756495475769	    0.892326653003693
2.17055478356592e-009	     4.49136257171631	    0.493072390556335
 2.2028600353729e-009	      4.5828537940979	    0.263036370277405
2.23416993617825e-009	     4.51025581359863	    0.155771255493164
 2.2764461602997e-009	     4.10047769546509	   0.0569960065186024
2.30598654821329e-009	     3.52727460861206	   0.0017029675655067
2.33625453188829e-009	     2.79417634010315	  -0.0151569014415145
2.36684265769832e-009	     2.05444765090942	   0.0427337735891342
2.41202344409935e-009	     1.12691295146942	    0.373236060142517
2.44005625359528e-009	    0.703926980495453	    0.853869676589966
2.46811234615557e-009	    0.405751913785934	     1.40405249595642
 2.4987004719656e-009	    0.228218227624893	      1.9582291841507
2.53581949733012e-009	    0.116668082773685	     2.53945708274841
2.57762423939817e-009	   0.0210597477853298	     3.09889435768127
 2.6232765078526e-009	  -0.0166624523699284	     3.63303852081299
2.66459230556898e-009	   0.0977747365832329	     3.95498061180115
2.71878363787942e-009	    0.742339909076691	     4.35824060440063
2.76868506558053e-009	     1.63606238365173	     4.55625343322754
 2.8077249437552e-009	     2.27733421325684	     4.47880029678345
 2.8505017537605e-009	     2.87637662887573	     4.06349420547485
2.88053108602576e-009	     3.27543044090271	     3.48304176330566
2.91035669147782e-009	     3.60815858840942	     2.76342606544495
2.94072362817638e-009	     3.85859370231628	     2.03290319442749
2.98631186820381e-009	     4.18602132797241	     1.10729491710663
3.01504899039678e-009	     4.40824222564697	    0.651331007480621
3.03368999380432e-009	     4.51886415481567	     0.45039314031601
3.05591949950718e-009	     4.58851194381714	    0.295194685459137
3.09419685732387e-009	     4.50697135925293	    0.152787148952484
3.13222974296473e-009	     4.13835525512695	   0.0622474849224091
3.16576317641698e-009	     3.48720788955688	  0.00027849295292981
