                 Time	              V(V4:+)
                    0	                    0
               3e-010	   0.0299999993294477
               6e-010	   0.0599999986588955
1.19995800256729e-009	    0.119995802640915
2.39987400770187e-009	    0.239987403154373
4.79970601797104e-009	     0.47997060418129
8.99736312627792e-009	    0.899736285209656
1.32784667372704e-008	      1.3278466463089
1.80311921000481e-008	     1.80311918258667
2.12207856535912e-008	     2.12207865715027
2.34913500905037e-008	     2.34913492202759
2.47205096244812e-008	     2.47205090522766
2.59211706876755e-008	     2.59211707115173
2.63283914834261e-008	     2.63283920288086
2.66073691606522e-008	     2.66073679924011
2.69295602053404e-008	     2.69295597076416
2.72993883997202e-008	     2.72993874549866
2.74025905825198e-008	     2.74025917053223
2.75932323135436e-008	     2.75932312011719
2.77669472567737e-008	     2.77669477462769
2.79628043942153e-008	     2.79628038406372
2.81981961749494e-008	       2.819819688797
2.85135885648429e-008	     2.85135889053345
2.89491215668619e-008	      2.8949122428894
2.96105468593538e-008	     2.96105480194092
3.06217769108713e-008	     3.06217765808105
 3.2351801725477e-008	     3.23518013954163
3.58118513546884e-008	     3.58118510246277
4.27319506131113e-008	     4.27319526672363
    5.0000000003e-008	                    5
5.07873401075799e-008	                    5
5.23620203167398e-008	                    5
5.55113807350595e-008	                    5
6.18101015716989e-008	                    5
7.44075432449777e-008	                    5
9.96024265915353e-008	                    5
1.29601444306989e-007	                    5
1.59600462022444e-007	                    5
1.89599479737898e-007	                    5
   2.00000000003e-007	                    5
2.00521261248012e-007	     4.94787406921387
2.01563783738037e-007	     4.84362173080444
2.03648828718086e-007	      4.6351170539856
2.07818918678184e-007	     4.21810817718506
2.16159098598381e-007	     3.38409018516541
2.23696105930229e-007	     2.63038945198059
2.29802601787468e-007	     2.01973986625671
2.35132747146507e-007	     1.48672533035278
2.38112234327217e-007	      1.1887766122818
2.39999093863388e-007	     1.00009059906006
 2.4229499027433e-007	    0.770500957965851
2.44897478076835e-007	    0.510252177715302
2.48678647729774e-007	    0.132135227322578
   2.50000000003e-007	                    0
2.50425381588956e-007	                    0
2.51276144760867e-007	                    0
2.52977671104689e-007	                    0
2.56380723792334e-007	                    0
2.63186829167624e-007	                    0
2.76799039918204e-007	                    0
3.04023461419364e-007	                    0
3.34022479134818e-007	                    0
3.64021496850272e-007	                    0
3.94020514565726e-007	                    0
   4.00000000003e-007	2.99997887642789e-010
4.00473111870905e-007	   0.0473111867904663
4.01419335606714e-007	    0.141933560371399
4.03311783078333e-007	    0.331178307533264
 4.0709667802157e-007	    0.709667801856995
4.12939423325678e-007	     1.29394233226776
4.18212199214121e-007	     1.82121992111206
4.21578744056841e-007	     2.15787434577942
4.23966655138155e-007	     2.39666557312012
4.25229342284818e-007	     2.52293419837952
4.26455894115587e-007	     2.64558935165405
4.26875361803194e-007	     2.68753623962402
4.27165841314216e-007	     2.71658420562744
4.27553550902029e-007	      2.7553551197052
4.27914578098078e-007	     2.79145789146423
4.27998245789875e-007	     2.79982447624207
 4.2816558117347e-007	     2.81655812263489
4.28359179853668e-007	     2.83591794967651
4.28639275117983e-007	     2.86392760276794
4.28978602498044e-007	        2.89786028862
4.29479374646415e-007	     2.94793748855591
4.30163710474243e-007	     3.01637101173401
4.31422858595123e-007	     3.14228582382202
4.32998656391372e-007	     3.29986572265625
4.36150251983871e-007	     3.61502528190613
4.42453443168869e-007	      4.2453441619873
   4.50000000003e-007	                    5
 4.5082990154924e-007	                    5
 4.5248970464172e-007	                    5
4.55809310826679e-007	                    5
4.62448523196598e-007	                    5
4.75726947936435e-007	                    5
5.02283797416111e-007	                    5
5.32282815131565e-007	                    5
5.62281832847019e-007	                    5
5.92280850562473e-007	                    5
   6.00000000003e-007	                    5
6.00416859987398e-007	     4.95831394195557
6.01250579956194e-007	      4.8749418258667
6.02918019893785e-007	     4.70819807052612
6.06252899768968e-007	     4.37471008300781
6.12922659519335e-007	     3.70773410797119
6.19089505079408e-007	     3.09104943275452
6.25459006431719e-007	     2.45409941673279
6.30158832672258e-007	     1.98411667346954
6.33609196546693e-007	       1.639080286026
6.35886466506143e-007	     1.41135334968567
6.37717446687837e-007	     1.22825527191162
6.39480999115129e-007	     1.05190002918243
6.40951929989477e-007	    0.904806971549988
 6.4250630736651e-007	    0.749369263648987
6.45615062120576e-007	     0.43849378824234
   6.50000000003e-007	                    0
6.50621750953813e-007	                    0
 6.5186525285544e-007	                    0
6.54352256658693e-007	                    0
6.59326264265199e-007	                    0
6.69274279478212e-007	                    0
6.89170309904238e-007	                    0
7.19169327619692e-007	                    0
7.49168345335146e-007	                    0
  7.791673630506e-007	                    0
   8.00000000003e-007	2.99997887642789e-010
8.01253746452947e-007	    0.125374644994736
8.03761239352842e-007	    0.376123934984207
8.08776225152632e-007	    0.877622544765472
8.13911165300031e-007	     1.39111649990082
8.19044615331312e-007	     1.90446150302887
8.22267736497541e-007	     2.22677373886108
8.24386681619306e-007	      2.4386682510376
8.25638751688619e-007	     2.56387519836426
8.26611424985548e-007	     2.66114258766174
8.26948703455945e-007	     2.69487023353577
8.27196621525307e-007	     2.71966218948364
8.27354736815413e-007	      2.7354736328125
8.27563888582607e-007	     2.75638890266418
8.27739256623407e-007	        2.77392578125
8.27863448488732e-007	     2.78634476661682
8.28017559091767e-007	     2.80175590515137
8.28242217379828e-007	     2.82422184944153
8.28520356866737e-007	     2.85203576087952
8.28804177421351e-007	      2.8804178237915
8.29371818530579e-007	     2.93718194961548
8.29927724975367e-007	     2.99277257919312
8.31039537864943e-007	     3.10395383834839
8.32707722860594e-007	     3.27077221870422
8.36044092851897e-007	     3.60440921783447
8.41170092302581e-007	     4.11700916290283
8.49023004251738e-007	      4.9023003578186
8.49120703826564e-007	     4.91207027435303
8.49316095302719e-007	     4.93160963058472
8.49706878255027e-007	     4.97068786621094
   8.50000000003e-007	                    5
8.50078156593462e-007	                    5
