                 Time	              V(C1:1)
                    0	                    5
               2e-010	     5.00002956390381
               4e-010	     5.00005865097046
8.00003045797348e-010	     5.00011539459229
1.60000913739204e-009	     5.00022602081299
3.20002132058144e-009	     5.00043249130249
6.40004568696022e-009	     5.00029277801514
1.28000944197178e-008	     4.95313310623169
1.73583596289158e-008	     4.85714149475098
 2.6471909815073e-008	     4.41754913330078
3.45781415045261e-008	     3.66520380973816
4.23356860220432e-008	     2.59274911880493
    5.0000000002e-008	      1.3794949054718
5.06451271494361e-008	     1.27724993228912
5.19353814443084e-008	     1.08782386779785
 5.4515890034053e-008	    0.775403499603271
5.96769072135421e-008	    0.371115207672119
6.50465406497451e-008	    0.164704233407974
 6.9580964001033e-008	   0.0823600217700005
7.41593457778427e-008	   0.0405834876000881
 7.9375497253749e-008	   0.0178499892354012
8.43234278281662e-008	  0.00820792000740767
8.92460264285537e-008	  0.00378716853447258
   9.38810326179e-008	  0.00183514028321952
9.86315228064987e-008	 0.000788823876064271
1.03276214750621e-007	 0.000307444162899628
 1.0800137296519e-007	9.79701144387946e-005
1.12685552986476e-007	 2.0596053218469e-005
1.19004390390727e-007	 9.5274590421468e-006
1.27205989511821e-007	2.01523789655766e-006
1.36228642614696e-007	-4.36797051861504e-007
1.54273948820445e-007	-9.15133966827852e-007
1.74274287374828e-007	1.77858510141959e-007
 1.9427462592921e-007	1.76286917508151e-007
   2.00000000002e-007	5.71881635380578e-008
2.00217440540108e-007	-2.69688825937919e-005
2.00652321616325e-007	-7.93109138612635e-005
2.01522083768758e-007	-0.000174585118656978
2.03261608073625e-007	-0.000334246607962996
2.06740656683359e-007	-0.000567804498132318
2.10190275499735e-007	 -0.00044430946581997
2.13241660783205e-007	  0.00334530719555914
2.16056117603693e-007	   0.0146098025143147
2.20405766556177e-007	   0.0506099872291088
2.29105064461145e-007	    0.215339988470078
2.42918440887842e-007	    0.963816583156586
   2.50000000002e-007	     1.62275409698486
2.50352039935205e-007	     1.65917992591858
2.51056119801614e-007	     1.73173260688782
2.52464279534433e-007	     1.87539029121399
 2.5528059900007e-007	     2.15660524368286
2.60913237931344e-007	     2.69125270843506
2.72178515793893e-007	      3.5910496711731
2.92178854348275e-007	     4.54103899002075
3.12179192902658e-007	     4.88157033920288
 3.3217953145704e-007	     4.97231101989746
3.52179870011422e-007	     4.99370861053467
3.72180208565805e-007	     5.00045585632324
3.92180547120187e-007	     5.00146722793579
   4.00000000002e-007	     5.00112152099609
4.00713672490928e-007	     5.00117540359497
4.02141017468784e-007	     5.00127935409546
4.04995707424495e-007	     5.00147104263306
4.09502563627574e-007	     4.99119520187378
4.13444665821407e-007	     4.94967460632324
4.19820127638194e-007	     4.78162956237793
 4.3257105127177e-007	     3.83847117424011
4.41090045126292e-007	     2.72954559326172
4.41981040613663e-007	     2.58858847618103
4.43158232347977e-007	     2.39694142341614
4.45512615816605e-007	     2.00266671180725
   4.50000000002e-007	      1.2669392824173
4.50470876695726e-007	     1.19615399837494
4.51412630083177e-007	     1.06124091148376
4.53296136858079e-007	    0.829180955886841
4.57063150407884e-007	    0.492085158824921
4.63773143293473e-007	    0.175397530198097
4.68971413375947e-007	   0.0784987732768059
4.73080408575151e-007	   0.0417975224554539
4.78093159200761e-007	   0.0190509352833033
4.82888352872941e-007	  0.00899502635002136
4.87483870985124e-007	  0.00439017079770565
 4.9228875041208e-007	   0.0018704718677327
4.96970695259187e-007	 0.000719837204087526
5.00763040783021e-007	 0.000310138711938635
5.04782629015062e-007	 0.000116825533041265
5.08766454460237e-007	 3.8784317439422e-005
5.14462423326585e-007	1.75306195160374e-005
5.21827322246644e-007	7.83560972195119e-006
5.30276280643556e-007	 1.7607103472983e-006
5.47174197437379e-007	-1.22915446354455e-006
5.67174535991761e-007	-8.40890095332725e-007
5.87174874546144e-007	1.66031583148651e-007
   6.00000000002e-007	-2.58575538758521e-009
6.00417279081556e-007	-5.03982155350968e-005
6.01251837240669e-007	-0.000145408703247085
6.02920953558895e-007	-0.000305432011373341
6.06259186195347e-007	-0.000540983339305967
6.09830622004482e-007	-0.000625256448984146
6.12231571601841e-007	  0.00162767351139337
6.14412356542561e-007	  0.00744604878127575
6.18151802944157e-007	   0.0292432922869921
6.24793250488255e-007	     0.11569694429636
 6.3705988638303e-007	    0.553869962692261
6.44290674852345e-007	     1.06405186653137
 6.4486160736711e-007	     1.11484575271606
6.46003408843589e-007	     1.21880948543549
6.48287011796546e-007	     1.43779289722443
   6.50000000002e-007	     1.61159455776215
6.50275066124413e-007	     1.64010620117188
6.50825198369238e-007	     1.69697773456573
6.51925462858889e-007	     1.80980741977692
 6.5412599183819e-007	     2.03174519538879
6.58527049796793e-007	     2.45973515510559
6.67329165713999e-007	     3.22688317298889
6.84933397548411e-007	     4.27893686294556
7.04933736102793e-007	     4.80055856704712
7.24934074657175e-007	     4.95221567153931
7.44934413211557e-007	     4.98907041549683
 7.6493475176594e-007	     5.00073528289795
7.84935090320322e-007	     5.00016593933105
   8.00000000002e-007	     5.00002193450928
8.01240149142358e-007	     5.00019216537476
8.03720447423074e-007	     5.00050973892212
8.08681043984506e-007	     4.99334049224854
 8.1363568008146e-007	     4.94227075576782
8.22074207665536e-007	     4.67555332183838
8.32424554230783e-007	     3.85998630523682
8.40451809765908e-007	     2.82985830307007
8.46021118762109e-007	     1.94117498397827
   8.50000000002e-007	     1.30265140533447
8.50572055580232e-007	     1.21552765369415
 8.5171609223089e-007	     1.05112993717194
8.54004165532205e-007	    0.777422070503235
8.58580312134835e-007	    0.407315522432327
8.64348551632974e-007	    0.169592976570129
8.69154921176049e-007	    0.081081248819828
8.73584291340921e-007	   0.0409566052258015
8.78747543694589e-007	   0.0181828122586012
8.83619478346917e-007	  0.00847181584686041
8.88232877852532e-007	  0.00372898951172829
8.92885020377252e-007	   0.0014535142108798
 8.9707969725332e-007	 0.000556686776690185
9.00775930287454e-007	 0.000222165341256186
9.04472535850617e-007	8.23434020276181e-005
9.08515220882508e-007	2.08725905395113e-005
 9.1398543715677e-007	-6.24310496277758e-006
9.21564167739961e-007	-1.16820156108588e-005
 9.3309468627176e-007	-7.16249633114785e-006
9.51837366821382e-007	1.08092490336276e-006
9.71837705375764e-007	1.27543955841247e-006
9.91838043930146e-007	-5.03965907228121e-007
  1.000000000002e-006	-5.88897194120364e-007


