                 Time	              V(V6:+)
                    0	                    0
               3e-010	   0.0299999993294477
               6e-010	   0.0599999986588955
1.19995800256729e-009	    0.119995802640915
2.39987400770187e-009	    0.239987403154373
4.79970601797104e-009	     0.47997060418129
9.59937003850937e-009	      0.9599369764328
1.37359323859215e-008	     1.37359321117401
2.03267159819603e-008	     2.03267168998718
3.35082831740379e-008	     3.35082840919495
4.29615798354149e-008	     4.29615783691406
    5.0000000003e-008	                    5
5.06841495663125e-008	                    5
5.20524486929376e-008	                    5
5.47890469461877e-008	                    5
 6.0262243452688e-008	                    5
6.53658911615808e-008	                    5
6.97602435976465e-008	                    5
7.44444236189325e-008	                    5
7.96412035852868e-008	                    5
8.46263870626886e-008	                    5
8.94774600893457e-008	                    5
9.41459938913782e-008	                    5
9.89531084925134e-008	                    5
1.03604505959173e-007	                    5
1.09007667008062e-007	                    5
1.14010731878896e-007	                    5
1.19420598450323e-007	                    5
1.30240331593176e-007	                    5
1.44257853928228e-007	                    5
1.68299387398382e-007	                    5
1.98298405113836e-007	                    5
   2.00000000003e-007	                    5
2.00097637533416e-007	     4.99023628234863
2.00292912594249e-007	      4.9707088470459
2.00683462715914e-007	     4.93165349960327
2.01464562959244e-007	     4.85354375839233
2.03026763445904e-007	      4.6973237991333
2.06151164419224e-007	     4.38488340377808
2.09216705805828e-007	     4.07832956314087
2.11808762795498e-007	      3.8191237449646
 2.1415308798032e-007	     3.58469128608704
2.16999209768345e-007	     3.30007910728455
2.22691453344395e-007	     2.73085474967957
2.33351744062473e-007	     1.66482555866241
2.42153859979679e-007	    0.784614026546478
   2.50000000003e-007	                    0
 2.5050850212874e-007	                    0
 2.5152550638022e-007	                    0
 2.5355951488318e-007	                    0
2.57627531889101e-007	                    0
2.65763565900942e-007	                    0
2.82035633924623e-007	                    0
3.06434795263429e-007	                    0
3.36433812978883e-007	                    0
3.66432830694338e-007	                    0
3.96431848409792e-007	                    0
   4.00000000003e-007	2.99997887642789e-010
4.00346172603985e-007	   0.0346172600984573
4.01038517805954e-007	    0.103851780295372
4.02423208209892e-007	    0.242320820689201
4.05192589017769e-007	    0.519258916378021
4.09423028680702e-007	    0.942302882671356
4.13162475082298e-007	     1.31624746322632
4.18713902685066e-007	     1.87139022350311
4.29816757890602e-007	     2.98167586326599
4.36419462415596e-007	     3.64194631576538
4.37777516174036e-007	     3.77775168418884
4.37976819205004e-007	     3.79768180847168
4.38375425266939e-007	     3.83754253387451
 4.3917263739081e-007	      3.9172637462616
4.40767061638552e-007	     4.07670593261719
4.43955910134035e-007	     4.39559078216553
4.47889071631151e-007	     4.78890705108643
4.48100164468036e-007	     4.81001663208008
4.48522332991109e-007	     4.85223340988159
4.49366670037256e-007	     4.93666696548462
   4.50000000003e-007	                    5
4.50168867412229e-007	                    5
4.50506611543914e-007	                    5
4.51182099807282e-007	                    5
4.52533076334019e-007	                    5
4.55235029387494e-007	                    5
4.60638935494443e-007	                    5
4.66074134039899e-007	                    5
4.70553423094769e-007	                    5
4.75135530161877e-007	                    5
4.80125183987637e-007	                    5
4.84969551491757e-007	                    5
4.89077801632901e-007	                    5
4.91856868195554e-007	                    5
4.95396639037152e-007	                    5
5.01073981452008e-007	                    5
5.06480867791196e-007	                    5
5.11793131756802e-007	                    5
5.18635744977017e-007	                    5
5.26804561543485e-007	                    5
5.40762479233762e-007	                    5
5.55756027627011e-007	                    5
 5.8574312441351e-007	                    5
   6.00000000003e-007	                    5
6.00358140099068e-007	     4.96418619155884
6.01074420291205e-007	     4.89255809783936
6.02506980675479e-007	     4.74930191040039
6.05372101444026e-007	     4.46279001235962
6.08440623062869e-007	     4.15593767166138
6.11026347059031e-007	     3.89736533164978
6.13419101017733e-007	     3.65808987617493
6.15821168202182e-007	      3.4178831577301
6.20625302571078e-007	     2.93746972084045
6.29327580708285e-007	     2.06724190711975
6.41817734020968e-007	     0.81822657585144
   6.50000000003e-007	                    0
6.50365078452249e-007	                    0
6.51095235350748e-007	                    0
6.52555549147745e-007	                    0
6.55476176741739e-007	                    0
6.61317431929727e-007	                    0
6.72999942305704e-007	                    0
6.95336782935282e-007	                    0
7.25335800650736e-007	                    0
 7.5533481836619e-007	                    0
7.85333836081644e-007	                    0
   8.00000000003e-007	2.99997887642789e-010
8.00932067635675e-007	   0.0932067632675171
8.02796202901026e-007	    0.279620289802551
8.06524473431726e-007	     0.65244734287262
 8.1395121217074e-007	     1.39512121677399
 8.1896470785441e-007	     1.89647078514099
 8.2504363656344e-007	      2.5043637752533
8.32200664284845e-007	      3.2200665473938
8.38579106333872e-007	     3.85791063308716
8.44415891173502e-007	     4.44158935546875
   8.50000000003e-007	                    5
8.50665560367723e-007	                    5
8.51996606591364e-007	                    5
8.54658699038645e-007	                    5
8.59982883933206e-007	                    5
8.65431493523737e-007	                    5
8.69956976178308e-007	                    5
8.74529397490641e-007	                    5
8.79660612347742e-007	                    5
8.84627914431711e-007	                    5
8.89296448233744e-007	                    5
8.93922513726374e-007	                    5
8.98064291480204e-007	                    5
9.01726251843592e-007	                    5
9.05388957265039e-007	                    5
9.09718489649912e-007	                    5
9.15350383523127e-007	                    5
9.23699504140039e-007	                    5
9.35775405171534e-007	                    5
9.56893330815454e-007	                    5
9.86892348530908e-007	                    5
  1.000000000003e-006	                    5
1.00033411197664e-006	     4.96658897399902
1.00100233592393e-006	     4.89976644515991
 1.0023387838185e-006	     4.76612138748169
1.00501167960765e-006	     4.49883222579956
1.00908416696193e-006	     4.09158325195313
1.01146350987556e-006	     3.85364890098572
1.01364317722919e-006	     3.63568234443665
1.01657311804893e-006	     3.34268808364868
1.02226834185721e-006	     2.77316570281982
1.03228490241172e-006	     1.77150976657867
1.04135970957877e-006	    0.864029049873352
  1.050000000003e-006	                    0
1.05046379864516e-006	                    0
1.05139139592948e-006	                    0
1.05324659049811e-006	                    0
